ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Left,Metadata_Media,Metadata_Rep,Metadata_Right,Metadata_Series,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Big,Classify_Biggest,Classify_Medium,Classify_Small,Classify_Smallest,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Colonies
63,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-p1_0002.jpg,0,p1,cntrl,0,p1,0,9783,149.0,25.0,1.0718004332772784,0.60297272613464803,1.0,0.84745322245322241,0.79091479756663785,127.52156258036915,142.86357128393507,55.0,22.049187609728925,20.0,103.0,101.73183146265808,36.390702194835022,394.25399999999928,0.99350055854574981,0,0,0,0,0,154.04671368700807,45.946744352448121,1,1
63,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-p1_0002.jpg,0,p1,cntrl,0,p1,0,10520,16.0,153.0,1.0511723648591995,0.56563146789628216,1.0,0.87295660111194096,0.81365218363477787,129.24450989985669,141.22676800097071,93.0,35.192244668634842,31.859049181941522,102.0,106.58253672055531,21.666119966042913,403.08199999999965,0.99221881631690634,0,0,0,0,0,53.531653992395434,106.6675855513308,2,2
64,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-p1_0003.jpg,0,p1,cntrl,0,p1,0,7316,159.0,39.0,1.0235841825574139,0.37256628411446924,1.0,0.87449199139373657,0.84857564755678749,101.06686927822108,106.40488710580919,45.0,17.459539842791653,16.124515496597098,88.0,93.790619047911505,61.520022759710393,329.15199999999942,0.9879810938555027,0,0,0,0,0,162.18685073810826,43.864953526517219,1,1
64,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-p1_0003.jpg,0,p1,cntrl,0,p1,0,6397,32.0,106.0,1.0203530043952407,0.44463076649076244,1.0,0.84016285789335432,0.83215042106210302,95.892620328767194,100.41912168506553,45.541190146942803,17.861241678407104,16.492422502470642,80.0,85.892357798256597,83.128974308630831,310.80799999999954,0.98151131568853089,0,0,0,0,0,37.255588557136157,106.00500234484915,2,2
65,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-p1_0004.jpg,0,p1,cntrl,0,p1,0,7526,157.0,36.0,1.0274846162514728,0.39060390599000033,1.0,0.87015839981500753,0.86638270515366123,103.08255806735754,109.78615577567146,46.61544808322666,18.694061070080657,17.464249196572979,92.0,94.89356067910235,44.484776345558693,330.39399999999938,0.99111081846315896,0,0,0,0,0,160.43808131809726,42.508636726016476,1,1
65,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-p1_0004.jpg,0,p1,cntrl,0,p1,0,7352,0.0,134.0,1.0353214943236115,0.49863491349964245,1.0,0.89050387596899228,0.84530788206058083,105.03984933455885,110.0,69.641941385920603,27.348442243230849,25.079872407968907,85.0,91.049812769074947,79.543129340689532,330.59799999999973,0.99203886115234108,0,0,0,0,0,38.823041349292708,107.26809031556039,2,2
66,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-p1_0005.jpg,0,p1,cntrl,0,p1,0,7006,160.0,32.0,1.0504715474391337,0.53106401269133108,1.0,0.83743724599569691,0.81466710352057548,104.28644839344163,113.27841806805037,44.0,17.825816887194179,16.598131167170045,88.0,88.365213887209066,53.905555731916756,328.73799999999932,0.9902473498233213,0,0,0,0,0,163.87853268626893,41.806023408506995,1,1
66,2,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p1-p1_0005.jpg,0,p1,cntrl,0,p1,0,7607,41.0,110.0,1.0229327356288933,0.45274655725955554,1.0,0.87036613272311214,0.85877119485508269,104.90426694453033,112.69871339105873,48.373546489791295,20.636529833075855,20.124611797498108,91.0,93.536762061938617,49.682918869566407,333.63599999999963,0.98772966305265208,0,0,0,0,0,42.634941501248846,108.48718285789404,2,2
67,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-none_0000.jpg,0,p14,cntrl,0,none,0,5097,95.0,69.0,1.0080082492590292,0.43265084274913568,1.0,0.76762048192771082,0.89186739000163651,84.841080644679124,84.958813551037778,37.576588456111871,13.46423315208383,12.0,75.660425586960585,76.489457102741753,56.809236895621126,267.98599999999942,0.97896859694612504,0,0,0,0,0,93.432803609966641,66.178144006278202,1,1
68,1,file:///C:/Users/mb3ad/Desktop/Harrison/self/cntrl_p14-none_0001.jpg,0,p14,cntrl,0,none,0,4605,95.0,73.0,1.0040705971911561,0.36594878283272869,1.0,0.81924924390677811,0.90740210624061513,79.332837259375026,80.212218520621903,36.013886210738214,12.877349712065982,11.313708498984761,72.0,73.829914368573995,72.313400475869457,252.53399999999954,0.98083067092651777,0,0,0,0,0,95.318783930510321,74.410206297502711,1,1
