ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Left,Metadata_Media,Metadata_Rep,Metadata_Right,Metadata_Series,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Big,Classify_Biggest,Classify_Medium,Classify_Small,Classify_Smallest,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_Colonies
21,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0001.jpg,0,hi,benzo,0,s,0,9238,150,86,1.001734706,0.18472962,1,0.792281304,0.851204499,109.3078159,111.8928058,52.39274759,17.94458919,15.8113883,105,107.4265607,-69.35123642,369.298,0.976739268,0,0,0,0,0,150.6767699,85.59623295,2,2
22,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0002.jpg,0,hi,benzo,0,s,0,1939,21,77,1.06450515,0.69749354,1,0.704066812,0.734942975,58.89106884,57.80138407,19.92485885,7.678778772,7,41.6506479,42.20081405,-50.15008447,182.082,0.949094469,0,0,0,0,0,26.20732336,71,1,2
22,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0002.jpg,0,hi,benzo,0,s,0,8505,149,73,1.006499899,0.4333683,1,0.786407767,0.861961752,109.5015742,111.1260546,48.7954916,17.22425915,15.23154621,99.6117463,98.68467018,-38.95217321,352.126,0.979612992,0,0,0,0,0,150.3727219,71.92827748,2,1
23,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0003.jpg,0,hi,benzo,0,s,0,1105,18,84,1.000794294,0.169790944,1,0.785917496,0.917172997,37.7985549,37.94733192,18.35755975,6.673821824,6,36,37.24972381,68.47153074,123.044,0.966331439,0,0,0,0,0,17.70135747,83.97104072,1,1
23,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0003.jpg,0,hi,benzo,0,s,0,8806,149,89,1.003212301,0.366573986,1,0.807297396,0.909297738,109.6342589,110.1135777,50.93132631,17.74452061,15.65247584,100,102.002498,-1.484903881,348.852,0.98561755,0,0,0,0,0,150.1988417,89.00272541,2,2
24,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0004.jpg,0,hi,benzo,0,s,0,10402,149,83,1.003320717,0.201876066,1,0.800646552,0.892745805,116.2720757,119.8874472,55,19.0996227,17,111,113.8781587,-70.66721805,382.648,0.984944608,0,0,0,0,0,150.3439723,82.9448183,1,1
24,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0004.jpg,0,hi,benzo,0,s,0,1596,22,86,1.016999732,0.484318474,1,0.788537549,0.836930927,48.36606417,50.7740091,20.24845673,8.257604927,7.810249676,41.80597152,42.31507166,15.57382393,154.802,0.959134615,0,0,0,0,0,21.39912281,86.3302005,2,2
25,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0005.jpg,0,hi,benzo,0,s,0,2294,27,87,1.111491038,0.72552979,1,0.728253968,0.777140839,66.32161997,65.19202405,21.21320344,8.706142004,8.062257748,47.60981372,45.64192611,61.40010259,192.598,0.934800326,0,0,0,0,0,22.47210113,80.14690497,1,2
25,2,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hi-s_0005.jpg,0,hi,benzo,0,s,0,10136,155,79,1.039531775,0.642459611,1,0.777956865,0.846423369,129.7976833,133.7647188,49.81967483,18.36210757,16.2788206,100,99.46650193,75.45308621,387.922,0.980650155,0,0,0,0,0,153.7648974,80.51331886,2,1
26,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hp-none_0000.jpg,0,hp,benzo,0,none,0,2078,109,54,1.006200919,0.381214802,1,0.800154024,0.897237747,53.54444522,53.60037313,24,8.731998635,7.810249676,48,49.50111636,5.263809742,170.598,0.974900305,0,0,0,0,0,109.2853705,54.0572666,1,1
27,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hp-none_0001.jpg,0,hp,benzo,0,none,0,2427,77,61,1.003706564,0.35914884,1,0.774904215,0.898662572,57.53399568,58.24946352,26.87005769,9.422977379,8.485281374,53,53.69534451,2.623763264,184.222,0.973525872,0,0,0,0,0,77.70704574,60.74330449,1,1
28,1,file:///C:/Users/Angela/Documents/UVA/Fourth%20Year/Papin%20Lab/March%202%2C%20Images/benzo_hp-none_0002.jpg,0,hp,benzo,0,none,0,2524,67,68,1.021437222,0.570720117,1,0.814193548,0.855964584,62.56586957,61.6116872,24.35159132,9.300585481,8.246211251,49,51.37562951,4.14111817,192.496,0.975270479,0,0,0,0,0,70.03961965,67.727813,1,1
